GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
biblioteca,com.qs.biblioteca.security,JwtAuthenticationFilter,6,64,4,6,3,18,4,3,0,2
biblioteca,com.qs.biblioteca.security,JwtService,1,90,2,2,0,24,2,8,0,8
biblioteca,com.qs.biblioteca,BibliotecaApplication,5,3,0,0,2,1,1,1,1,1
biblioteca,com.qs.biblioteca.config,SecurityConfig,0,137,0,0,0,22,0,7,0,7
biblioteca,com.qs.biblioteca.config,WebConfig,0,47,0,0,0,7,0,2,0,2
biblioteca,com.qs.biblioteca.service,UsuarioService,6,179,0,4,0,42,1,7,1,5
biblioteca,com.qs.biblioteca.model,Role,0,15,0,0,0,3,0,1,0,1
biblioteca,com.qs.biblioteca.integration,GoogleBooksClient.VolumeItem,3,14,0,0,1,4,1,4,1,4
biblioteca,com.qs.biblioteca.integration,GoogleBooksClient.BookInfo,3,49,0,0,1,14,1,14,1,14
biblioteca,com.qs.biblioteca.integration,GoogleBooksClient.GoogleBooksResponse,3,14,0,0,1,4,1,4,1,4
biblioteca,com.qs.biblioteca.integration,GoogleBooksClient,3,57,1,5,2,18,1,4,0,2
biblioteca,com.qs.biblioteca.unit,LivroValidator,0,90,0,34,0,13,0,24,0,7
biblioteca,com.qs.biblioteca.controller,LivroController,0,125,2,8,0,30,2,10,0,7
biblioteca,com.qs.biblioteca.controller,UsuarioController,4,18,2,2,1,5,2,2,0,2
biblioteca,com.qs.biblioteca.controller,AuthController,0,18,0,0,0,5,0,3,0,3
